Vtc_No,Otc_No,yakinlik
84394535197,92736476060,anne
84408658787,92805060409,anne
84424504833,92814762041,anne
84436224829,92871088556,anne
84469652264,92875845586,anne
84525660483,92881401617,anne
84528683834,92917063898,anne
84555643104,92941048567,anne
84592046211,92941472409,anne
84607281882,92964617311,anne
84626299011,92973600226,anne
84630267269,93169264199,anne
84634826241,93172254786,anne
84634874431,93173082262,anne
84643411430,93211045360,anne
84648682111,93265604844,anne
84662275899,93272810884,anne
84662639424,93275465795,anne
84662642987,93287092042,anne
84694905182,93311264238,anne
84707002493,93349247061,anne
84710205954,93362608417,anne
84733874232,93425484544,anne
84734831239,93425651583,anne
84740485741,93430440626,anne
84757880061,93438276727,anne
84763863518,93444899585,anne
84810490852,93453658663,anne
84818888316,93453826003,anne
84823817043,93464647801,anne
84847215926,93481623501,anne
84880234906,93483669792,anne
84891004170,93494568883,anne
84902829001,93499090601,anne
84914283843,93513636033,anne
84947402673,93528031725,anne
84992760498,93571014165,anne
84993803140,93614225261,anne
84995635189,93632625560,anne
85001665271,93678829046,anne
85024602306,93687054714,anne
85051606049,93714211311,anne
85107800883,93715295740,anne
85111062419,93730035818,anne
85137401639,93752840201,anne
85174051211,93774429844,anne
85182853098,93800369324,anne
85222252076,93823455702,anne
85235253105,93838202846,anne
85269052677,93878650459,anne
85298229292,93884275335,anne
85306650225,93962027198,anne
85322025519,93989239019,anne
85327661779,94028720435,anne
85329216224,94084214223,anne
85343625868,94084694004,anne
85383815842,94088402901,anne
85389246927,94094143116,anne
85404392879,94101858391,anne
85407294531,94197491641,anne
85411097210,94229091504,anne
85426277299,94242296011,anne
85426456346,94248209029,anne
85447477662,94254330736,anne
85458464652,94296250552,anne
85466654006,94322030214,anne
85477072730,94330028952,anne
85480694188,94349815619,anne
85481872578,94378214220,anne
85512291711,94378679528,anne
85517458373,94380489095,anne
85527277658,94388050968,anne
85536062999,94393449629,anne
85537011627,94398417093,anne
85557046822,94425222624,anne
85562775561,94448263734,anne
85580074834,94526846542,anne
85580409355,94532222148,anne
85588506855,94541434141,anne
85591431211,94546865106,anne
85627823445,94573651499,anne
85666636106,94584231073,anne
85702205118,94589481016,anne
85736445577,94624482762,anne
85755618573,94627623200,anne
85764832292,94629435275,anne
85774479642,94671290746,anne
85849688713,94681899519,anne
85856400861,94703232954,anne
85874662522,94752255118,anne
85962293304,94759070660,anne
85965817848,94768479526,anne
85966087693,94773609137,anne
85974646903,94805030336,anne
85990453888,94809655311,anne
85993805305,94811446684,anne
85994842488,94813241450,anne
86006038325,94818261792,anne
86021059882,94828273369,anne
86028975801,94840848175,anne
86061064327,94842276669,anne
86132807109,94844280846,anne
86163095025,94848164615,anne
86198038979,94854929366,anne
86200631425,94891658820,anne
86201647874,94901012531,anne
86206264627,94949282665,anne
86232475029,94997039644,anne
86265686066,95035258961,anne
86280802135,95063672501,anne
86308301677,95073480806,anne
86362492917,95079404746,anne
86365652011,95120605804,anne
86413689222,95144128483,anne
86444437351,95180813938,anne
86456892054,95188275408,anne
86479622137,95190167001,anne
86479892755,95205489838,anne
86482361319,95211011721,anne
86571650097,95246644696,anne
86578823756,95247044350,anne
86612277111,95255224128,anne
86651815068,95280278367,anne
86652044769,95284412570,anne
86652092074,95285625782,anne
86653299004,95316024705,anne
86663055099,95335845477,anne
86663613805,95345028053,anne
86666050293,95367056776,anne
86687838842,95371477570,anne
86712136975,95396052584,anne
86785878305,95428916956,anne
86789084270,95439854487,anne
86800200406,95455492549,anne
86805009246,95461867063,anne
86821078968,95462252442,anne
86832487395,95551402113,anne
86834673596,95580298373,anne
86842202276,95587484076,anne
86846488295,95597462685,anne
86847223922,95651833441,anne
86877617515,95681021643,anne
86880243026,95691264502,anne
86892692140,95705096741,anne
86917267830,95719095405,anne
86919612715,95769258039,anne
86934243987,95840260913,anne
86947240410,95910833251,anne
86981447520,95948208837,anne
87023870616,95960490812,anne
87034478326,95967299282,anne
87042017864,95977486882,anne
87069229631,95984891370,anne
87114675159,96001200200,anne
87122875858,96011068598,anne
87148259496,96044686516,anne
87154805599,96086611120,anne
87155261336,96107632081,anne
87182087914,96112046549,anne
87191069801,96113675098,anne
87209451702,96125251560,anne
87216213871,96156661879,anne
87222487481,96177237132,anne
87240843872,96182038834,anne
87252449622,96182097682,anne
87254812563,96196039010,anne
87297850565,96216878049,anne
87298003211,96226434901,anne
87298245611,96233498144,anne
87327862964,96261413822,anne
87334033803,96276858704,anne
87354413426,96281293008,anne
87373438509,96283479626,anne
87388921860,96299482161,anne
87419481053,96304607874,anne
87462210623,96307085831,anne
87473242400,96307688318,anne
87493045085,96348487779,anne
87497202259,96357641894,anne
87511858501,96361624207,anne
87548835230,96366654629,anne
87612434916,96382272047,anne
87627726329,96426004340,anne
87639807943,96427628366,anne
87645491880,96461098426,anne
87664696277,96464348816,anne
87665058477,96472228270,anne
87701481885,96491807964,anne
87788050813,96528206820,anne
87800668621,96532671112,anne
87806437591,96536436264,anne
87839879393,96573282704,anne
87851094402,96651032612,anne
87886113251,96675430188,anne
87908986800,96685805978,anne
87973235128,96694034400,anne
87997079510,96731424398,anne
88014620024,96756499538,anne
88022678578,96758095554,anne
88051656394,96801824994,anne
88054346177,96812458660,anne
88075419448,96843076767,anne
88088414361,96848857649,anne
88106857443,96854048526,anne
88126940279,96861070177,anne
88145240877,96867230884,anne
88162489608,96920240276,anne
88172836486,96929075859,anne
88193067778,96936238048,anne
88208691205,96946676047,anne
88220174610,96982070880,anne
88228678724,97018068488,anne
88232657472,97020008264,anne
88238612972,97022804400,anne
88244406093,97031098269,anne
88297221222,97099246895,anne
88299093472,97112012863,anne
88300026496,97114859177,anne
88331212531,97116263928,anne
88341229878,97120635438,anne
88371211641,97136397206,anne
88388028784,97200097460,anne
88403208857,97209602476,anne
88420832660,97231812521,anne
88425223210,97236268817,anne
88452296160,97237408821,anne
88474270620,97258079295,anne
88530667727,97261660405,anne
88546488163,97308462014,anne
88563652280,97318037809,anne
88582436292,97358836792,anne
88607099614,97368649291,anne
88613275569,97396865618,anne
88640447481,97404810883,anne
88654723901,97407436624,anne
88660030818,97422601695,anne
88661050782,97468800111,anne
88668435115,97487059301,anne
88669983219,97494504056,anne
88680005186,97513879892,anne
88685491732,97539677363,anne
88748558312,97541093663,anne
88761029122,97567214947,anne
88772683877,97587647470,anne
88773871833,97594694023,anne
88808888033,97630890320,anne
88813237043,97632085045,anne
88823487960,97651264409,anne
88882077923,97677086059,anne
88884231454,97733005915,anne
88891006148,97757664995,anne
88922054059,97761289745,anne
88929802259,97766026036,anne
89003085046,97768201750,anne
89035872227,97838681799,anne
89053849737,97846270543,anne
89072070938,97853242747,anne
89078098787,97876654993,anne
89092239454,97933242093,anne
89115650014,97934636985,anne
89123201837,97947416791,anne
89125666667,97949613157,anne
89140945686,97954659158,anne
89154092364,98006656449,anne
89210857861,98047842326,anne
89227077865,98083043966,anne
89280243845,98089029940,anne
89299392140,98089653855,anne
89325485703,98190627526,anne
89329859173,98236826730,anne
89336200818,98251429182,anne
89338690523,98251855547,anne
89356487900,98261824883,anne
89358293754,98266292218,anne
89363210551,98276864958,anne
89364683027,98287227793,anne
89375298124,98347471842,anne
89394665876,98355225523,anne
89406275156,98370461979,anne
89420206262,98385282213,anne
89437254784,98406160630,anne
89442000021,98421022838,anne
89507606851,98435647437,anne
89508846070,98504652923,anne
89543605395,98505424340,anne
89572698637,98513038818,anne
89585875102,98517465171,anne
89609076630,98566078178,anne
89610109265,98571079087,anne
89628413645,98585219189,anne
89635878744,98600795997,anne
89667810163,98608463629,anne
89700857593,98641291409,anne
89714883537,98643428561,anne
89723038756,98658010126,anne
89727010545,98659854548,anne
89743057435,98667265723,anne
89768265502,98671677123,anne
89788665472,98702036006,anne
89823888306,98717675389,anne
89825097044,98718867857,anne
89873887379,98772817587,anne
89880456603,98787491747,anne
89894025859,98792321725,anne
89913619722,98830638069,anne
89914274814,98836652921,anne
89932446150,98863631588,anne
89934840471,98884205550,anne
89938272315,98897298013,anne
89946416988,98971441242,anne
89946460134,98974621966,anne
89958856062,98978097759,anne
89960741024,98990277242,anne
89961298169,98994038365,anne
89986838537,98994836898,anne
89990040216,99010472414,anne
89994044778,99027426788,anne
90002867497,99038061300,anne
90009028294,99053469191,anne
90015660118,99065491332,anne
90016067819,99070661550,anne
90027842620,99091001111,anne
90056682342,99105087991,anne
90063452500,99105602188,anne
90072271065,99119033975,anne
90080519075,99123260448,anne
90088847199,99143270102,anne
90116498743,99145236645,anne
90180487706,99164284542,anne
90182255159,99165699395,anne
90182682501,99221052310,anne
90185872836,99239694374,anne
90193497926,99242637535,anne
90197051000,99253623902,anne
90211872702,99274066162,anne
90212671966,99329867987,anne
90263070821,99357630726,anne
90277039279,99372461176,anne
90287234375,99388435555,anne
90320233645,99400682376,anne
90323476951,99404821915,anne
90331819161,99425417747,anne
90333882800,99458670834,anne
90354262549,99482657579,anne
90368401395,99486875748,anne
90369828917,99499220879,anne
90386921484,99509001061,anne
90386977027,99526850029,anne
90395645390,99529269665,anne
90418409639,99536628101,anne
90434207278,99543242044,anne
90435661450,99564076279,anne
90451869165,99582889867,anne
90461478299,99586845926,anne
90476127646,99587422585,anne
90500087998,99637277841,anne
90504899640,99677262105,anne
90512038733,99678867670,anne
90512854924,99680285299,anne
90524264429,99681895824,anne
90549490838,99685441683,anne
90592495129,99686597204,anne
78403898867,80450260926,anne
78405684130,80457280438,anne
78433059300,80482253156,anne
78442209952,80485609383,anne
78498875630,80493853592,anne
78522223654,80508879862,anne
78535887010,80568682825,anne
78552682362,80583680594,anne
78602121586,80586060924,anne
78621036923,80591467965,anne
78625031489,80595857317,anne
78646631624,80628487120,anne
78661293412,80628556046,anne
78675454736,80647201766,anne
78684811645,80660070111,anne
78690273487,80660474467,anne
78693051213,80677402522,anne
78726694525,80708210925,anne
78730687796,80743890690,anne
78745842283,80752875477,anne
78758271886,80767276504,anne
78789019616,80772472700,anne
78862305579,80782698840,anne
78880816986,80784099888,anne
78890006479,80796641295,anne
78901450491,80803079353,anne
78915889814,80810453531,anne
78951897113,80843296636,anne
78975235621,80855871855,anne
79006233961,80867047655,anne
79017244215,80876897271,anne
79044091898,80877280939,anne
79088297018,80881434932,anne
79098688647,80883876398,anne
79123255379,80886832613,anne
79124888541,80886898485,anne
79140092195,80894801899,anne
79154802222,80905038121,anne
79216490291,80921281236,anne
79219699103,80921460620,anne
79230417538,80929041084,anne
79234207504,80947298595,anne
79264859092,80949441217,anne
79271052652,80952411707,anne
79290221650,80975056844,anne
79323259750,80978610208,anne
79342201864,81020848219,anne
79363645595,81029213829,anne
79371469989,81033883344,anne
79425265406,81053030825,anne
79459061376,81109018140,anne
79473848336,81110232087,anne
79509035812,81134214636,anne
79537406980,81134885031,anne
79542071987,81139228846,anne
79571620869,81147216110,anne
79584417219,81152136630,anne
79616480753,81165241950,anne
79629643145,81165254938,anne
79654453745,81178471986,anne
79660037612,81212629258,anne
79665271880,81221229107,anne
79668672958,81223080982,anne
79705690243,81236482255,anne
79738451260,81263641502,anne
79793067136,81301274967,anne
79794044647,81304605460,anne
79816356739,81305061003,anne
79833662469,81340805251,anne
79854660809,81418269804,anne
79873485584,81432636376,anne
79908414092,81439867216,anne
79916677893,81443628640,anne
79918111888,81444412399,anne
79922649327,81445699319,anne
79962501049,81464453681,anne
79965621573,81470008319,anne
79967235337,81488811587,anne
80045892370,81522018172,anne
80062259769,81558468392,anne
80069435949,81589073495,anne
80092468461,81605075946,anne
80122847782,81613820453,anne
80165443403,81616561090,anne
80193006460,81661667065,anne
80194689651,81670098300,anne
80241436108,81677429122,anne
80250287759,81682973366,anne
80255420217,81683401588,anne
80272609352,81683652031,anne
80276465625,81702460328,anne
80277221411,81730408154,anne
80298484045,81753297907,anne
80309446553,81762663993,anne
80322641581,81765414852,anne
80407035645,81844478770,anne
80411628769,81860024852,anne
80418485688,81867875427,anne
80428487235,81876448786,anne
80428515759,81885420178,anne
