INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90595699693', 'Ellen', 'Dolton', '90595699693', '90595699693@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90827871180', 'Oswald', 'Todd', '90827871180', '90827871180@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90834482502', 'Marian', 'Laird', '90834482502', '90834482502@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90840696953', 'Hampton', 'Bass', '90840696953', '90840696953@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90856053697', 'Lular', 'Wither', '90856053697', '90856053697@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90862843210', 'Philomena', 'Hunter', '90862843210', '90862843210@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90894424766', 'Vera', 'Desai', '90894424766', '90894424766@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90931805280', 'Selena', 'Randall', '90931805280', '90931805280@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90932013051', 'Blas', 'Chase', '90932013051', '90932013051@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90952861644', 'Lugenia', 'Timberlake', '90952861644', '90952861644@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('90966804751', 'Houston', 'Plummer', '90966804751', '90966804751@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91000860039', 'Lina', 'Mcgrady', '91000860039', '91000860039@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91006630557', 'Nora', 'Drewett', '91006630557', '91006630557@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91009645783', 'Teressa', 'Head', '91009645783', '91009645783@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91022218489', 'Nell', 'Ramm', '91022218489', '91022218489@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91098235678', 'Otis', 'Axon', '91098235678', '91098235678@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91115457476', 'Cornelius', 'Tedd', '91115457476', '91115457476@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91118609653', 'Margarett', 'Leonard', '91118609653', '91118609653@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91131496072', 'Charley', 'Troon', '91131496072', '91131496072@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91150495615', 'Ivory', 'Kilbey', '91150495615', '91150495615@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91156066140', 'Mac', 'Gilchrist', '91156066140', '91156066140@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91180246261', 'Antoinette', 'Jenkyns', '91180246261', '91180246261@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91205277673', 'Lon', 'Knott', '91205277673', '91205277673@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91206260751', 'Arie', 'Dove', '91206260751', '91206260751@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91227216082', 'Enoch', 'Ayley', '91227216082', '91227216082@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91228469870', 'Jabez', 'Ebden', '91228469870', '91228469870@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91236836179', 'Suzanne', 'Arthur', '91236836179', '91236836179@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91244061987', 'Adelaide', 'Elliman', '91244061987', '91244061987@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91244892076', 'Hassie', 'Mcintyre', '91244892076', '91244892076@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91245450772', 'Anthony', 'Drury', '91245450772', '91245450772@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91278265778', 'Velma', 'Guinard', '91278265778', '91278265778@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91286877925', 'Hudson', 'Tindell', '91286877925', '91286877925@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91373840447', 'Retta', 'Sharp', '91373840447', '91373840447@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91381057074', 'Alton', 'Allard', '91381057074', '91381057074@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91384006011', 'Edie', 'Whittaker', '91384006011', '91384006011@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91391091027', 'Butler', 'Tatnell', '91391091027', '91391091027@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91399000209', 'Logan', 'Prentice', '91399000209', '91399000209@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91424052223', 'Margaret', 'Marshall', '91424052223', '91424052223@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91425630901', 'Louisa', 'Bateman', '91425630901', '91425630901@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91456684339', 'Margarette', 'Werner', '91456684339', '91456684339@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91462676661', 'Therese', 'Proctor', '91462676661', '91462676661@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91464259071', 'Lena', 'Eatherington', '91464259071', '91464259071@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91542986683', 'Erwin', 'Alcock', '91542986683', '91542986683@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91586068286', 'Halsey', 'Jeffreys', '91586068286', '91586068286@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91647679534', 'Leta', 'Pendlebury', '91647679534', '91647679534@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91672600859', 'Grayce', 'Tate', '91672600859', '91672600859@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91693851587', 'Volney', 'Roper', '91693851587', '91693851587@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91733035755', 'Lue', 'Wickham', '91733035755', '91733035755@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91772497003', 'Alonzo', 'Lewry', '91772497003', '91772497003@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91796402260', 'Mandy', 'Nolan', '91796402260', '91796402260@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91829614203', 'Sudie', 'Shelton', '91829614203', '91829614203@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91838856309', 'Becky', 'Snelling', '91838856309', '91838856309@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91851020737', 'Ossie', 'Dimmock', '91851020737', '91851020737@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91859029877', 'Michel', 'Macrae', '91859029877', '91859029877@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91874429509', 'Presley', 'Pateman', '91874429509', '91874429509@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91881035947', 'Birtie', 'Davidson', '91881035947', '91881035947@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91885835721', 'Kittie', 'Whitby', '91885835721', '91885835721@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91888436409', 'Mellie', 'Franco', '91888436409', '91888436409@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91896018075', 'Golda', 'Eyles', '91896018075', '91896018075@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91911236360', 'Mark', 'Pickersgill', '91911236360', '91911236360@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91913893911', 'Lucile', 'Knibb', '91913893911', '91913893911@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91927218277', 'Louise', 'Hatch', '91927218277', '91927218277@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91936843653', 'Monroe', 'Ducon', '91936843653', '91936843653@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91959282857', 'Myrtle', 'Ould', '91959282857', '91959282857@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91963607669', 'Chas', 'Rippin', '91963607669', '91963607669@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91968251267', 'Elsa', 'Lathey', '91968251267', '91968251267@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('91984287190', 'Ednah', 'Fitzsimmons', '91984287190', '91984287190@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92011241597', 'Glenn', 'Elven', '92011241597', '92011241597@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92012636230', 'Abbie', 'Rann', '92012636230', '92012636230@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92018602565', 'Flora', 'Lowe', '92018602565', '92018602565@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92021217639', 'York', 'Frazer', '92021217639', '92021217639@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92058663112', 'Reginald', 'Aird', '92058663112', '92058663112@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92077694931', 'Hiram', 'Dowler', '92077694931', '92077694931@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92078688045', 'Robert', 'Alsop', '92078688045', '92078688045@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92086241417', 'Joella', 'Harrop', '92086241417', '92086241417@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92100492390', 'Carroll', 'Weeks', '92100492390', '92100492390@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92119847836', 'Parley', 'Longhurst', '92119847836', '92119847836@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92136055671', 'Fanny', 'Whitworth', '92136055671', '92136055671@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92140421712', 'Harley', 'Armer', '92140421712', '92140421712@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92140833942', 'Hazel', 'Thomson', '92140833942', '92140833942@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92142465889', 'Nonie', 'Iggleden', '92142465889', '92142465889@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92147671701', 'Alden', 'Hind', '92147671701', '92147671701@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92165445453', 'Ervin', 'Perowne', '92165445453', '92165445453@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92167262921', 'Miles', 'Yeung', '92167262921', '92167262921@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92177215664', 'Clarinda', 'Ahmed', '92177215664', '92177215664@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92196094727', 'Bradford', 'Finn', '92196094727', '92196094727@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92197866457', 'Spencer', 'Picot', '92197866457', '92197866457@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92216000895', 'Marcellus', 'Matthams', '92216000895', '92216000895@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92245643809', 'Jeanette', 'Miller', '92245643809', '92245643809@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92307212289', 'Romeo', 'Trennery', '92307212289', '92307212289@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92315239803', 'Janette', 'Allcott', '92315239803', '92315239803@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92358829118', 'Bryant', 'Armour', '92358829118', '92358829118@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92359205885', 'Harlan', 'Zaoui', '92359205885', '92359205885@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92377490739', 'Theo', 'Foss', '92377490739', '92377490739@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92383059742', 'Clifford', 'Will', '92383059742', '92383059742@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92391687013', 'Rubin', 'Kinsella', '92391687013', '92391687013@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92402016909', 'Arrie', 'Tonner', '92402016909', '92402016909@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92414029099', 'Ethel', 'Jewett', '92414029099', '92414029099@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92470463010', 'Grover', 'Conneely', '92470463010', '92470463010@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92494237247', 'Madora', 'Gillies', '92494237247', '92494237247@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92495010189', 'Odelia', 'Tugwell', '92495010189', '92495010189@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92495805212', 'Ezekiel', 'Valmary', '92495805212', '92495805212@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92512605283', 'Ila', 'Eldridge', '92512605283', '92512605283@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92530620382', 'Rennie', 'Cracknell', '92530620382', '92530620382@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92550174527', 'Roger', 'Alber', '92550174527', '92550174527@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92552836835', 'Elaine', 'Tully', '92552836835', '92552836835@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92555041337', 'Rowena', 'Eckersall', '92555041337', '92555041337@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92561492777', 'Doctor', 'Felton', '92561492777', '92561492777@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92566842522', 'Ora', 'Ferguson', '92566842522', '92566842522@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92576400775', 'Pleasant', 'Purnell', '92576400775', '92576400775@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92577076671', 'Pinkie', 'Wilcox', '92577076671', '92577076671@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92597248780', 'Melvina', 'Prendergast', '92597248780', '92597248780@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92632182058', 'Mettie', 'Frith', '92632182058', '92632182058@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92638842607', 'James', 'Grady', '92638842607', '92638842607@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92659663854', 'Lonnie', 'Rouse', '92659663854', '92659663854@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92665685335', 'Leonard', 'Downton', '92665685335', '92665685335@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92673699438', 'Cecil', 'Tonge', '92673699438', '92673699438@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92680863298', 'Marion', 'Ward', '92680863298', '92680863298@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92684038776', 'Hettie', 'Frederick', '92684038776', '92684038776@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92716881248', 'Rollie', 'Oram', '92716881248', '92716881248@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92736476060', 'Elizabeth', 'Finch', '92736476060', '92736476060@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92805060409', 'Jane', 'Allington', '92805060409', '92805060409@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92814762041', 'Juliet', 'Doyle', '92814762041', '92814762041@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92871088556', 'Sydney', 'Otter', '92871088556', '92871088556@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92875845586', 'Adolphus', 'Hale', '92875845586', '92875845586@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92881401617', 'Juan', 'Egleton', '92881401617', '92881401617@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92917063898', 'Lois', 'Clifton', '92917063898', '92917063898@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92941048567', 'Willam', 'Emberey', '92941048567', '92941048567@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92941472409', 'Rachel', 'Hill', '92941472409', '92941472409@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92964617311', 'Carlotta', 'Drysdale', '92964617311', '92964617311@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('92973600226', 'Frankie', 'Newill', '92973600226', '92973600226@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93169264199', 'Hattie', 'Jewell', '93169264199', '93169264199@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93172254786', 'Ulysses', 'Peat', '93172254786', '93172254786@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93173082262', 'Wiley', 'Hartley', '93173082262', '93173082262@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93211045360', 'Martha', 'Radcliffe', '93211045360', '93211045360@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93265604844', 'Dell', 'Tolley', '93265604844', '93265604844@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93272810884', 'Addie', 'Parnaby', '93272810884', '93272810884@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93275465795', 'Clementine', 'Silva', '93275465795', '93275465795@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93287092042', 'Sammie', 'Riddell', '93287092042', '93287092042@mail.com');
INSERT INTO ogrenci (TC_NO, ISIM, SOYISIM, TEL_NO, E_POSTA) VALUES ('93311264238', 'Dick', 'Nixon', '93311264238', '93311264238@mail.com');
